name,version,status,observable,remoteType,remoteUrl,pkgKinds,httpReachable,httpStatus,handshake,toolsListed,authRequired,toolCount,annotatedTools,readOnlyHint,destructiveHint,idempotentHint,openWorldHint,failReason
io.github.chrischall/ioffice-mcp,2.1.9,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
com.olane/copass-local,0.3.2,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.fkom13/gencodedoc,2.0.1,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.uponex/gisgp,1.3.0,active,true,streamable-http,https://gisgp.com/mcp,,true,200,initialize,true,false,92,0,0,0,0,0,
io.github.mcp-dir/carf-mcp,0.1.0,active,true,streamable-http,https://api.mcp.ai/p_carf,,true,200,initialize,true,false,7,7,7,7,7,7,
io.github.commitshow/legitshow-search,0.1.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
dev.workers.mattskowronis.skowron-compliance-gateway/compliance,1.0.0,active,true,streamable-http,https://skowron-compliance-gateway.mattskowronis.workers.dev/mcp,,true,200,initialize,true,false,5,5,5,5,5,5,
com.jojapi/best-keyword-research-api,1.0.0,active,true,streamable-http,https://mcp.jojapi.com/best-keyword-research-api,,true,200,initialize,true,false,1,0,0,0,0,0,
io.github.spruikco/send16-mcp,0.5.8,active,true,streamable-http,https://mcp.send16.com/mcp,npm,false,,,false,false,0,0,0,0,0,0,net:fetch failed
io.github.pipeworx-io/elife,0.1.0,active,true,streamable-http,https://gateway.pipeworx.io/elife/mcp,,true,200,initialize,true,false,34,34,34,34,34,34,
io.github.DiegoBr4nd/godot-gut-mcp,0.1.2,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
dev.slipstack/pdf,1.0.0,active,true,streamable-http,https://slipstack.dev/api/mcp,,false,,,false,false,0,0,0,0,0,0,net:fetch failed
io.github.Cigarfinder/cigarfinder,1.0.0,active,true,streamable-http,https://mcp.cigarfinder.com/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.github.wyre-technology/salesforce-mcp,1.0.3,active,false,,,oci,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.Ric-Lavers/electron-dance,0.1.0,active,true,streamable-http,https://electron.dance/api/mcp,,true,200,initialize,true,false,4,0,0,0,0,0,
io.github.quantustik/mcp,2.0.4,active,true,streamable-http,https://quantustik.com/mcp,npm,true,200,initialize,true,false,26,26,26,26,26,26,
io.github.Jackalope-Dev/allmcps-server,2.0.3,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.codevanmoose/vanmoose-mcp-server,1.2.1,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.sbrunner-atx/fldigi-mcp,0.1.4,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
ai.constellationfinance/constellation-finance-mcp,1.0.2,active,true,streamable-http,https://mcp.constellationfinance.ai/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
ai.fincontext/fincontext,1.0.0,active,true,streamable-http,https://fincontext.ai/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
app.fakto/wfirma,1.0.0,active,true,streamable-http,https://fakto.app/wfirma/stream,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.github.CSOAI-ORG/focus-timer-ai-mcp,1.0.12,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.bbb-build/touchgrass-mcp,0.2.1,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.mayor-modder/cities2-mcp,0.3.1,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.TryReelEstate/reel-estate-mcp,0.3.3,deprecated,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
com.kitsdeals/deals,1.0.0,active,true,streamable-http,https://mcp.kitsdeals.com,,true,200,initialize,true,false,7,7,7,3,3,7,
net.whiskyhunter/mcp,1.0.0,active,true,streamable-http,https://whiskyhunter.net/mcp/,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.github.sarduine13-star/agent-teller,1.1.0,active,true,streamable-http,https://agent-teller-production.up.railway.app/mcp,,true,404,none,false,false,0,0,0,0,0,0,no-jsonrpc-response(http 404)
io.github.Destrayon/connapse,0.3.2,active,false,,,oci,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
